Data;id_vendedor;id_veiculo;id_agencia
2020-01-16;1;1;1
2020-01-27;1;2;1
2020-01-27;1;3;1
2020-01-27;1;4;1
2020-01-27;1;5;1
2020-01-27;1;6;1
2020-01-27;1;2;1
2020-01-27;1;7;1
2020-01-27;1;8;1
2020-01-27;1;2;1
2020-01-27;1;6;1
2020-01-27;1;7;1
2020-01-02;1;3;1
2020-01-02;1;3;1
2020-01-02;1;4;1
2020-01-02;1;9;1
2020-01-02;1;1;1
2020-01-02;1;2;1
2020-01-05;1;5;1
2020-01-05;1;10;1
2020-02-09;1;9;1
2020-02-09;1;4;1
2020-02-09;1;4;1
2020-02-09;1;7;1
2020-02-09;1;2;1
2020-02-09;1;4;1
2020-02-09;1;6;1
2020-02-27;1;5;1
2020-02-27;1;8;1
2020-02-01;1;9;1
2020-02-01;1;1;1
2020-02-01;1;8;1
2020-02-01;1;10;1
2020-02-01;1;10;1
2020-02-15;1;10;1
2020-02-15;1;4;1
2020-02-15;1;5;1
2020-02-15;1;10;1
2020-02-15;1;10;1
2020-02-15;1;11;1
2020-02-06;1;8;1
2020-02-06;1;6;1
2020-02-06;1;3;1
2020-02-06;1;7;1
2020-02-06;1;3;1
2020-02-06;1;5;1
2020-02-09;1;9;1
2020-02-09;1;7;1
2020-02-09;1;10;1
2020-02-09;1;1;1
2020-02-09;1;6;1
2020-02-09;1;3;1
2020-02-09;1;2;1
2020-02-09;1;5;1
2020-02-18;1;8;1
2020-02-18;1;3;1
2020-02-18;1;2;1
2020-02-18;1;7;1
2020-02-15;1;9;1
2020-02-15;1;1;1
2020-02-15;1;1;1
2020-02-15;1;9;1
2020-02-15;1;5;1
2020-02-15;1;7;1
2020-02-15;1;3;1
2020-02-15;1;4;1
2020-02-15;1;7;1
2020-02-15;1;8;1
2020-02-22;1;8;1
2020-02-22;1;3;1
2020-02-22;1;7;1
2020-02-22;1;2;1
2020-02-22;1;11;1
2020-02-22;1;4;1
2020-02-22;1;5;1
2020-02-22;1;5;1
2020-02-22;1;10;1
2020-02-22;1;9;1
2020-02-22;1;5;1
2020-02-25;1;6;1
2020-02-25;1;7;1
2020-02-25;1;1;1
2020-02-25;1;9;1
2020-02-25;1;9;1
2020-02-25;1;4;1
2020-02-25;1;9;1
2020-02-10;1;11;1
2020-02-10;1;2;1
2020-02-10;1;4;1
2020-02-10;1;10;1
2020-02-10;1;4;1
2020-02-10;1;3;1
2020-02-10;1;3;1
2020-02-10;1;8;1
2020-02-10;1;9;1
2020-02-10;1;4;1
2020-02-16;1;11;1
2020-02-16;1;5;1
2020-02-16;1;2;1
2020-02-16;1;7;1
2020-02-16;1;11;1
2020-02-16;1;11;1
2020-02-16;1;11;1
2020-02-16;1;7;1
2020-02-09;1;6;1
2020-02-09;1;2;1
2020-02-09;1;11;1
2020-02-09;1;9;1
2020-02-09;1;9;1
2020-02-09;1;1;1
2020-02-09;1;1;1
2020-02-09;1;11;1
2020-02-09;1;10;1
2020-02-09;1;3;1
2020-02-13;1;6;1
2020-02-13;1;7;1
2020-02-13;1;8;1
2020-02-13;1;7;1
2020-02-13;1;5;1
2020-02-13;1;3;1
2020-02-13;1;10;1
2020-02-13;1;5;1
2020-02-13;1;5;1
2020-02-07;1;7;1
2020-02-02;1;9;1
2020-02-02;1;2;1
2020-02-02;1;10;1
2020-02-02;1;7;1
2020-02-02;1;9;1
2020-02-02;1;7;1
2020-02-02;1;3;1
2020-03-21;1;1;1
2020-03-21;1;10;1
2020-03-21;1;11;1
2020-03-21;1;2;1
2020-03-21;1;2;1
2020-03-21;1;7;1
2020-03-21;1;11;1
2020-03-22;1;4;1
2020-03-22;1;6;1
2020-03-22;1;7;1
2020-03-22;1;8;1
2020-03-22;1;6;1
2020-03-22;1;5;1
2020-03-22;1;10;1
2020-03-22;1;2;1
2020-03-22;1;5;1
2020-03-22;1;7;1
2020-03-22;1;7;1
2020-03-19;1;10;1
2020-03-19;1;10;1
2020-03-19;1;3;1
2020-03-19;1;2;1
2020-03-19;1;10;1
2020-03-19;1;4;1
2020-03-19;1;10;1
2020-03-13;1;8;1
2020-03-26;1;2;1
2020-03-26;1;11;1
2020-03-26;1;8;1
2020-03-26;1;10;1
2020-03-26;1;2;1
2020-03-26;1;4;1
2020-03-26;1;3;1
2020-03-26;1;4;1
2020-03-23;1;5;1
2020-03-23;1;6;1
2020-03-23;1;6;1
2020-03-23;1;3;1
2020-03-23;1;9;1
2020-03-23;1;11;1
2020-03-23;1;4;1
2020-03-23;1;7;1
2020-03-23;1;2;1
2020-03-23;1;5;1
2020-03-23;1;6;1
2020-04-24;1;5;1
2020-04-24;1;5;1
2020-04-24;1;5;1
2020-04-24;1;1;1
2020-04-12;1;10;1
2020-04-12;1;11;1
2020-04-12;1;7;1
2020-04-12;1;8;1
2020-04-12;1;4;1
2020-04-12;1;3;1
2020-04-12;1;2;1
2020-04-12;1;1;1
2020-04-12;1;6;1
2020-04-15;1;7;1
2020-04-15;1;10;1
2020-04-15;1;7;1
2020-04-15;1;2;1
2020-04-15;1;11;1
2020-04-15;1;5;1
2020-04-01;1;5;1
2020-04-01;1;2;1
2020-04-01;1;4;1
2020-04-01;1;3;1
2020-04-01;1;10;1
2020-04-01;1;3;1
2020-04-01;1;4;1
2020-04-01;1;4;1
2020-04-01;1;7;1
2020-04-01;1;10;1
2020-04-22;1;3;1
2020-04-16;1;10;1
2020-04-16;1;11;1
2020-04-16;1;5;1
2020-04-16;1;7;1
2020-04-16;1;6;1
2020-04-16;1;9;1
2020-04-16;1;6;1
2020-04-19;1;7;1
2020-04-19;1;9;1
2020-04-19;1;1;1
2020-04-05;1;3;1
2020-04-05;1;1;1
2020-04-05;1;11;1
2020-04-05;1;4;1
2020-04-03;1;1;1
2020-04-03;1;2;1
2020-04-03;1;4;1
2020-04-03;1;10;1
2020-04-03;1;8;1
2020-04-03;1;9;1
2020-04-03;1;11;1
2020-04-03;1;9;1
2020-04-03;1;4;1
2020-04-03;1;4;1
2020-04-03;1;1;1
2020-04-04;1;1;1
2020-04-04;1;9;1
2020-04-04;1;11;1
2020-04-04;1;5;1
2020-04-04;1;11;1
2020-04-04;1;3;1
2020-04-04;1;1;1
2020-05-13;1;6;1
2020-05-13;1;2;1
2020-05-13;1;1;1
2020-05-13;1;11;1
2020-05-13;1;6;1
2020-05-20;1;4;1
2020-05-20;1;2;1
2020-05-20;1;6;1
2020-05-20;1;11;1
2020-05-20;1;5;1
2020-05-20;1;5;1
2020-05-20;1;10;1
2020-05-18;1;7;1
2020-05-18;1;6;1
2020-05-18;1;11;1
2020-05-18;1;3;1
2020-05-18;1;4;1
2020-05-18;1;8;1
2020-05-18;1;2;1
2020-05-18;1;1;1
2020-05-18;1;5;1
2020-05-18;1;9;1
2020-05-28;1;7;1
2020-05-28;1;5;1
2020-05-28;1;6;1
2020-05-28;1;1;1
2020-05-28;1;5;1
2020-05-28;1;6;1
2020-05-28;1;4;1
2020-05-28;1;10;1
2020-05-28;1;3;1
2020-05-28;1;11;1
2020-05-28;1;7;1
2020-05-17;1;9;1
2020-05-17;1;7;1
2020-05-17;1;8;1
2020-05-17;1;7;1
2020-05-17;1;1;1
2020-05-10;1;4;1
2020-05-10;1;5;1
2020-05-01;1;6;1
2020-05-01;1;5;1
2020-05-01;1;10;1
2020-05-01;1;4;1
2020-05-01;1;7;1
2020-05-01;1;1;1
2020-05-17;1;11;1
2020-05-18;1;6;1
2020-05-18;1;9;1
2020-05-18;1;9;1
2020-05-18;1;1;1
2020-05-28;1;4;1
2020-05-28;1;9;1
2020-05-28;1;2;1
2020-05-28;1;3;1
2020-06-18;1;5;1
2020-06-18;1;8;1
2020-06-18;1;1;1
2020-06-18;1;1;1
2020-06-18;1;1;1
2020-06-18;1;1;1
2020-06-18;1;9;1
2020-06-18;1;6;1
2020-06-18;1;2;1
2020-06-18;1;5;1
2020-06-21;1;2;1
2020-06-21;1;9;1
2020-06-21;1;7;1
2020-06-21;1;9;1
2020-06-21;1;9;1
2020-06-21;1;3;1
2020-06-21;1;1;1
2020-06-21;1;8;1
2020-06-04;1;2;1
2020-06-04;1;3;1
2020-06-04;1;11;1
2020-06-04;1;5;1
2020-06-04;1;5;1
2020-06-28;1;4;1
2020-06-28;1;3;1
2020-06-28;1;1;1
2020-06-28;1;8;1
2020-06-28;1;6;1
2020-06-28;1;7;1
2020-06-09;1;5;1
2020-06-09;1;3;1
2020-06-26;1;7;1
2020-06-26;1;9;1
2020-06-26;1;10;1
2020-06-26;1;10;1
2020-06-26;1;3;1
2020-06-26;1;4;1
2020-06-20;1;8;1
2020-06-20;1;10;1
2020-06-20;1;1;1
2020-06-10;1;1;1
2020-06-10;1;3;1
2020-06-10;1;11;1
2020-06-10;1;6;1
2020-06-10;1;4;1
2020-06-10;1;6;1
2020-06-10;1;4;1
2020-06-10;1;6;1
2020-06-10;1;5;1
2020-06-10;1;9;1
2020-06-16;1;9;1
2020-06-16;1;6;1
2020-06-16;1;1;1
2020-06-24;1;6;1
2020-06-24;1;1;1
2020-06-24;1;4;1
2020-06-24;1;3;1
2020-06-24;1;10;1
2020-06-24;1;3;1
2020-06-24;1;8;1
2020-06-24;1;3;1
2020-06-24;1;4;1
2020-06-01;1;8;1
2020-06-01;1;4;1
2020-06-10;1;11;1
2020-06-10;1;5;1
2020-06-10;1;11;1
2020-06-10;1;7;1
2020-06-10;1;7;1
2020-06-10;1;4;1
2020-06-14;1;4;1
2020-06-14;1;6;1
2020-06-14;1;5;1
2020-06-14;1;9;1
2020-06-14;1;4;1
2020-06-12;1;6;1
2020-06-12;1;2;1
2020-06-12;1;8;1
2020-06-12;1;4;1
2020-06-12;1;5;1
2020-06-12;1;11;1
2020-06-12;1;5;1
2020-06-14;1;2;1
2020-06-14;1;2;1
2020-06-14;1;2;1
2020-06-14;1;11;1
2020-06-14;1;10;1
2020-06-14;1;4;1
2020-06-14;1;8;1
2020-06-14;1;11;1
2020-06-14;1;4;1
2020-06-28;1;3;1
2020-06-28;1;10;1
2020-06-28;1;6;1
2020-06-28;1;6;1
2020-06-28;1;3;1
2020-06-28;1;2;1
2020-06-23;1;1;1
2020-06-23;1;2;1
2020-06-23;1;5;1
2020-06-23;1;3;1
2020-06-23;1;2;1
2020-06-23;1;5;1
2020-06-23;1;1;1
2020-06-23;1;2;1
2020-06-23;1;8;1
2020-06-23;1;9;1
2020-06-23;1;5;1
2020-06-23;1;3;1
2020-06-25;1;3;1
2020-06-25;1;9;1
2020-06-25;1;11;1
2020-06-25;1;11;1
2020-06-25;1;6;1
2020-06-25;1;11;1
2020-06-25;1;5;1
2020-06-25;1;8;1
2020-06-25;1;7;1
2020-06-25;1;10;1
2020-06-25;1;4;1
2020-06-15;1;10;1
2020-06-15;1;10;1
2020-06-15;1;10;1
2020-06-15;1;7;1
2020-06-15;1;8;1
2020-06-15;1;7;1
2020-06-15;1;3;1
2020-07-16;1;8;1
2020-07-16;1;8;1
2020-07-16;1;1;1
2020-07-16;1;2;1
2020-07-16;1;10;1
2020-07-12;1;7;1
2020-07-12;1;11;1
2020-07-20;1;4;1
2020-07-20;1;2;1
2020-07-20;1;3;1
2020-07-20;1;11;1
2020-07-20;1;11;1
2020-07-20;1;2;1
2020-07-20;1;8;1
2020-07-20;1;2;1
2020-07-20;1;1;1
2020-07-20;1;8;1
2020-07-14;1;5;1
2020-07-14;1;9;1
2020-07-14;1;7;1
2020-07-14;1;1;1
2020-07-14;1;10;1
2020-07-26;1;5;1
2020-07-26;1;6;1
2020-07-26;1;9;1
2020-08-13;1;9;1
2020-08-13;1;6;1
2020-09-20;1;11;1
2020-09-20;1;10;1
2020-09-20;1;10;1
2020-09-20;1;1;1
2020-09-20;1;1;1
2020-09-20;1;10;1
2020-09-20;1;3;1
2020-09-20;1;6;1
2020-09-20;1;5;1
2020-09-20;1;9;1
2020-09-21;1;8;1
2020-09-21;1;5;1
2020-09-21;1;2;1
2020-09-21;1;1;1
2020-09-21;1;11;1
2020-09-21;1;5;1
2020-09-21;1;10;1
2020-09-21;1;10;1
2020-09-21;1;8;1
2020-09-21;1;7;1
2020-09-26;1;10;1
2020-09-26;1;10;1
2020-09-26;1;3;1
2020-09-26;1;5;1
2020-09-26;1;11;1
2020-09-10;1;1;1
2020-09-10;1;7;1
2020-09-10;1;5;1
2020-09-10;1;5;1
2020-09-10;1;2;1
2020-09-10;1;5;1
2020-09-23;1;1;1
2020-09-23;1;8;1
2020-10-13;1;11;1
2020-10-13;1;4;1
2020-10-13;1;3;1
2020-10-13;1;10;1
2020-10-13;1;6;1
2020-10-13;1;8;1
2020-10-13;1;9;1
2020-10-13;1;6;1
2020-10-18;1;2;1
2020-10-18;1;11;1
2020-10-18;1;6;1
2020-10-18;1;9;1
2020-10-18;1;5;1
2020-10-18;1;8;1
2020-10-18;1;9;1
2020-10-18;1;9;1
2020-10-18;1;6;1
2020-10-08;1;7;1
2020-10-08;1;7;1
2020-10-08;1;9;1
2020-10-08;1;8;1
2020-10-08;1;7;1
2020-10-08;1;8;1
2020-10-25;1;2;1
2020-10-25;1;11;1
2020-10-25;1;10;1
2020-10-25;1;9;1
