1;28/06/2020;06:20;2;2.99;100
2;28/06/2020;06:22;2;2.99;10
3;29/06/2020;06:23;4;0.1;20
4;29/06/2020;06:20;2;2.99;100
5;29/06/2020;06:22;2;2.99;10
6;29/06/2020;06:23;4;0.1;20
7;30/06/2020;06:20;2;2.99;100
8;30/06/2020;06:22;2;2.99;10
9;30/06/2020;06:23;4;0.1;20
10;01/07/2020;09:39;8;13.45;2
11;20/07/2020;10:46;4;0.1;100
12;03/08/2020;08:38;1;0.99;12
13;14/08/2020;08:19;10;0.35;10
14;14/08/2020;10:39;3;1.99;10
15;14/08/2020;10:39;8;13.45;20
16;14/08/2020;10:39;6;6.45;3
17;26/08/2020;08:55;10;0.35;90
18;26/08/2020;09:33;11;22.5;5
19;27/08/2020;11:21;5;2.5;2
20;27/08/2020;11:25;5;2.4;2
21;27/08/2020;11:33;12;50.0;1
22;27/08/2020;11:36;12;50.0;1
